time,ax,ay,az,aT
2.637,-0.0311,0.2136,-0.0224,0.217
2.642,-0.0514,0.228,-0.0483,0.239
2.647,-0.0529,0.2517,-0.0527,0.263
2.653,-0.0572,0.2635,-0.0759,0.28
2.661,-0.0662,0.2753,-0.0848,0.296
2.661,-0.0512,0.2847,-0.0224,0.29
2.67,-0.0077,0.2871,0.0372,0.29
2.671,0.0334,0.28,0.044,0.285
2.677,0.0552,0.2731,0.0151,0.279
2.681,0.0507,0.2402,-0.0325,0.248
2.685,0.0012,0.1981,-0.0299,0.2
2.695,-0.0338,0.1703,-0.0083,0.174
2.7,0.0221,0.15,0.0108,0.152
2.705,0.0999,0.1205,0.0747,0.173
2.711,0.1259,0.0889,0.1287,0.201
2.714,0.0876,0.0812,0.0943,0.152
2.72,0.042,0.0784,-0.0276,0.093
2.724,0.0036,0.0733,-0.0844,0.112
2.733,-0.0632,0.0516,-0.0624,0.103
2.736,-0.1205,0.0489,-0.0547,0.141
2.74,-0.1068,0.0983,-0.0757,0.164
2.744,-0.0625,0.1187,-0.0679,0.15
2.749,-0.0417,0.084,0.03,0.098
2.755,-0.0016,0.0823,0.0963,0.127
2.76,0.1025,0.1234,0.0575,0.17
2.764,0.1635,0.1219,-0.0142,0.204
2.77,0.1108,0.0708,0.0096,0.132
2.774,0.0154,0.0582,0.0356,0.07
2.778,-0.0135,0.0693,-0.043,0.083
2.784,-0.0113,0.0398,-0.0332,0.053
2.789,-0.0326,0.0321,0.0122,0.047
2.796,-0.0583,0.0558,-0.0402,0.09
2.802,-0.0438,0.0674,-0.0565,0.098
2.815,-0.0137,0.0694,-0.0085,0.071
2.816,-0.0362,0.0577,-0.075,0.101
2.819,-0.0157,0.0437,-0.0151,0.049
2.824,-0.0142,0.0296,0.0729,0.08
2.829,-0.047,0.0397,-0.0512,0.08
2.834,-0.0396,0.0616,-0.1553,0.172
2.839,-0.0363,0.0592,0.043,0.082
2.844,-0.0501,0.0713,0.0236,0.09
2.849,-0.0377,0.0645,-0.1024,0.127
2.853,-0.0177,0.0264,0.0717,0.078
2.858,0.0302,0.0432,0.0711,0.088
2.863,0.0846,0.1004,-0.1052,0.168
2.869,0.0421,0.0854,0.031,0.1
2.873,-0.0267,0.0707,0.0687,0.102
2.877,-0.0097,0.0922,-0.1242,0.155
2.884,0.0268,0.0751,0.0026,0.08
2.888,0.0203,0.07,0.0762,0.105
2.898,0.0062,0.0962,-0.0859,0.129
2.898,-0.0126,0.103,-0.0544,0.117
2.904,-0.027,0.0931,-0.016,0.098
2.907,-0.0247,0.0663,0.0127,0.072
2.918,-0.0537,0.0424,0.0363,0.077
2.924,-0.085,0.0499,-0.0875,0.132
2.927,-0.0311,0.0787,0.0034,0.085
2.933,0.0578,0.1336,-0.1177,0.187
2.937,0.073,0.1429,-0.0337,0.164
2.944,0.0407,0.1143,-0.0073,0.122
2.95,0.0402,0.1024,0.0069,0.11
2.952,0.0617,0.0884,0.1326,0.171
2.957,0.0971,0.0939,-0.0086,0.135
2.963,0.0587,0.0994,-0.0442,0.124
2.967,-0.0433,0.0571,0.0107,0.072
2.972,-0.0275,0.0328,0.1364,0.143
2.977,-0.0242,0.0272,0.2042,0.207
2.982,-0.072,0.0478,-0.0421,0.096
