time,ax,ay,az,aT
1.945000,0.0077,-0.0003,-0.0071,0.011
1.946000,0.0053,0.0116,-0.0047,0.014
1.946000,0.0101,0.0091,-0.0023,0.014
1.946000,0.0125,0.0138,0.0049,0.019
1.948000,0.0124,0.0112,0.0001,0.017
1.953000,0.0123,-0.0032,-0.0023,0.013
1.958000,0.0051,-0.0033,0.0096,0.011
1.963000,0.0051,-0.0105,0.0119,0.017
1.968000,0.0097,-0.0128,-0.0001,0.016
1.973000,0.0050,-0.0033,-0.0096,0.011
1.978000,-0.0022,-0.0199,-0.0071,0.021
1.983000,-0.0046,-0.0222,0.0024,0.023
1.989000,-0.0022,-0.0102,0.0096,0.014
1.993000,0.0027,-0.0077,0.0166,0.018
1.997000,0.0003,-0.0076,0.0070,0.010
2.012000,-0.0021,-0.0003,-0.0002,0.002
2.014000,-0.0021,0.0140,-0.0002,0.014
2.014000,-0.0044,0.0210,-0.0073,0.023
2.020000,-0.0043,0.0137,-0.0097,0.017
2.040000,0.0005,0.0113,0.0047,0.012
2.042000,0.0028,0.0137,0.0094,0.017
2.042000,-0.0019,0.0113,-0.0026,0.012
2.043000,-0.0043,0.0017,-0.0049,0.007
2.043000,-0.0043,-0.0006,-0.0073,0.008
2.047000,-0.0019,0.0017,-0.0120,0.012
2.055000,0.0006,-0.0007,-0.0047,0.005
2.058000,0.0005,-0.0031,0.0001,0.003
2.062000,-0.0042,-0.0054,-0.0094,0.012
2.066000,-0.0041,-0.0054,-0.0094,0.012
2.073000,-0.0017,0.0017,-0.0093,0.010
2.077000,-0.0017,-0.0007,-0.0187,0.019
2.082000,0.0007,-0.0151,-0.0067,0.017
2.087000,0.0079,-0.0222,0.0053,0.024
2.092000,0.0102,-0.0127,0.0076,0.018
2.096000,0.0078,-0.0080,0.0052,0.012
2.101000,0.0030,0.0014,-0.0115,0.012
2.106000,0.0007,0.0085,-0.0019,0.009
2.112000,-0.0017,0.0131,0.0076,0.015
2.116000,0.0054,0.0106,0.0028,0.012
2.128000,0.0149,0.0057,-0.0043,0.016
2.128000,0.0076,0.0032,-0.0019,0.008
2.132000,0.0075,0.0103,-0.0043,0.013
2.154000,0.0027,0.0055,-0.0066,0.009
2.155000,-0.0044,-0.0088,0.0029,0.010
2.156000,0.0003,-0.0087,-0.0090,0.012
2.156000,0.0074,-0.0038,-0.0113,0.014
2.156000,0.0049,-0.0038,-0.0064,0.009
2.160000,0.0025,-0.0013,-0.0040,0.005
2.165000,0.0072,0.0059,0.0055,0.011
2.181000,0.0143,0.0011,0.0007,0.014
2.183000,0.0165,-0.0037,0.0007,0.017
2.183000,0.0021,-0.0060,0.0102,0.012
2.198000,-0.0051,-0.0036,0.0125,0.014
2.199000,-0.0003,-0.0036,0.0053,0.006
2.199000,0.0021,-0.0059,-0.0066,0.009
2.200000,0.0020,-0.0060,-0.0042,0.008
2.216000,0.0044,-0.0083,0.0077,0.012
2.218000,0.0114,-0.0130,0.0029,0.018
2.218000,0.0090,-0.0082,-0.0043,0.013
2.247000,0.0018,0.0036,-0.0090,0.010
2.248000,0.0041,-0.0012,-0.0113,0.012
