time,ax,ay,az,aT
1.960000,0.0126,-0.0400,0.0010,0.042
1.965000,0.0054,-0.0159,-0.0085,0.019
1.969000,0.0031,0.0032,-0.0037,0.006
1.974000,0.0055,0.0127,0.0058,0.015
1.979000,0.0055,0.0172,0.0058,0.019
1.984000,0.0032,0.0194,-0.0085,0.021
1.989000,0.0009,0.0097,0.0010,0.010
1.997000,0.0034,-0.0047,0.0082,0.010
1.999000,0.0036,-0.0096,-0.0014,0.010
2.004000,-0.0011,-0.0074,0.0010,0.008
2.008000,-0.0033,-0.0076,0.0057,0.010
2.019000,-0.0079,-0.0030,0.0057,0.010
2.020000,-0.0078,0.0063,-0.0062,0.012
2.023000,-0.0077,0.0108,-0.0062,0.015
2.028000,-0.0051,0.0105,0.0082,0.014
2.033000,-0.0002,0.0055,0.0128,0.014
2.039000,0.0024,0.0006,-0.0015,0.003
2.044000,-0.0022,-0.0042,-0.0015,0.005
2.048000,-0.0045,-0.0138,0.0033,0.015
2.053000,-0.0069,-0.0091,-0.0039,0.012
2.058000,-0.0092,0.0124,-0.0015,0.016
2.063000,-0.0021,0.0314,0.0057,0.032
2.068000,0.0051,0.0407,0.0104,0.042
2.073000,0.0051,0.0429,0.0079,0.044
2.077000,-0.0021,0.0310,0.0031,0.031
2.082000,-0.0138,0.0144,0.0007,0.020
2.088000,-0.0066,-0.0093,0.0054,0.013
2.092000,0.0006,-0.0281,0.0030,0.028
2.097000,-0.0018,-0.0301,0.0029,0.030
2.102000,-0.0089,-0.0250,-0.0018,0.027
2.107000,-0.0088,-0.0033,-0.0018,0.010
2.116000,0.0007,0.0157,0.0006,0.016
2.116000,0.0055,0.0132,0.0101,0.017
2.122000,0.0056,0.0059,0.0076,0.011
2.127000,0.0055,-0.0013,-0.0091,0.011
2.133000,0.0055,-0.0133,0.0029,0.015
2.136000,0.0079,-0.0157,0.0076,0.019
2.144000,0.0079,-0.0158,0.0028,0.018
2.147000,0.0055,-0.0135,0.0075,0.016
2.151000,0.0030,-0.0042,0.0004,0.005
2.157000,0.0030,0.0003,0.0004,0.003
2.162000,0.0007,0.0097,0.0051,0.011
2.166000,-0.0016,0.0214,0.0003,0.021
2.172000,-0.0039,0.0283,-0.0068,0.029
2.175000,0.0033,0.0232,0.0122,0.026
2.181000,0.0034,0.0064,0.0193,0.021
2.186000,-0.0037,-0.0031,0.0025,0.005
2.191000,0.0011,-0.0054,0.0048,0.007
2.197000,0.0011,0.0018,0.0048,0.005
2.201000,-0.0013,0.0066,0.0024,0.007
2.206000,-0.0013,0.0044,0.0047,0.007
2.215000,-0.0084,0.0140,0.0023,0.016
2.216000,-0.0060,0.0164,0.0023,0.018
2.221000,0.0060,0.0046,-0.0025,0.008
2.226000,0.0059,-0.0000,-0.0049,0.008
2.231000,0.0036,-0.0093,-0.0024,0.010
2.236000,-0.0036,-0.0164,-0.0072,0.018
2.241000,-0.0011,-0.0138,-0.0024,0.014
2.246000,0.0012,-0.0112,0.0119,0.016
2.250000,0.0036,0.0008,0.0118,0.012
2.255000,0.0059,0.0127,-0.0049,0.015
2.261000,0.0036,0.0030,-0.0073,0.009
2.264000,0.0035,-0.0066,-0.0024,0.008
2.270000,0.0083,-0.0115,-0.0072,0.016
2.274000,0.0058,-0.0234,-0.0024,0.024
2.280000,0.0082,-0.0138,0.0024,0.016
2.285000,0.0082,0.0123,0.0072,0.016
2.290000,0.0058,0.0144,0.0095,0.018
2.297000,0.0081,0.0166,0.0046,0.019
2.299000,0.0033,0.0187,-0.0001,0.019
2.304000,-0.0038,0.0114,-0.0025,0.012
2.316000,-0.0109,0.0112,-0.0072,0.017
2.317000,0.0034,0.0017,-0.0096,0.010
2.319000,0.0058,0.0017,-0.0023,0.007
2.325000,0.0011,0.0112,0.0024,0.012
2.329000,0.0058,0.0135,-0.0071,0.016
2.334000,0.0058,0.0134,-0.0094,0.017
2.339000,-0.0038,0.0158,0.0025,0.016
2.344000,-0.0014,0.0182,0.0073,0.020
2.348000,-0.0014,0.0182,0.0048,0.019
2.354000,-0.0085,0.0064,0.0024,0.011
2.359000,-0.0060,-0.0054,-0.0024,0.008
2.364000,-0.0059,-0.0077,0.0048,0.011
2.368000,-0.0011,-0.0075,0.0142,0.016
2.373000,0.0084,-0.0122,0.0093,0.018
2.378000,0.0108,-0.0263,-0.0002,0.028
2.383000,0.0155,-0.0309,0.0021,0.035
2.388000,0.0082,-0.0259,0.0045,0.028
2.397000,-0.0037,-0.0210,0.0045,0.022
2.398000,-0.0036,-0.0163,-0.0003,0.017
2.403000,-0.0011,-0.0020,-0.0074,0.008
2.408000,0.0013,0.0074,-0.0050,0.009
2.416000,-0.0033,0.0047,-0.0049,0.008
2.418000,0.0015,-0.0073,-0.0096,0.012
2.423000,-0.0009,-0.0146,-0.0072,0.016
2.428000,-0.0079,-0.0051,0.0095,0.013
2.433000,-0.0031,-0.0005,0.0118,0.012
2.438000,-0.0006,0.0113,-0.0073,0.013
2.442000,-0.0053,0.0253,-0.0096,0.028
2.448000,-0.0005,0.0179,-0.0000,0.018
2.455000,0.0043,0.0202,-0.0024,0.021
2.458000,0.0044,0.0202,-0.0000,0.021
